"gene_id","S01_R01","S01_R02","S01_R03","S01_R04","S01_R05","S01_R06","S01_R07","S01_R08","S01_R09","S01_R10","S01_R11","S01_R12","S02_R01","S02_R02","S02_R03","S02_R04","S02_R05","S02_R06","S02_R07","S02_R08","S02_R09","S02_R10","S02_R11","S02_R12","S03_R01","S03_R02","S03_R03","S03_R04","S03_R05","S03_R06","S03_R07","S03_R08","S03_R09","S03_R10","S03_R11","S03_R12","S04_R01","S04_R02","S04_R03","S04_R04","S04_R05","S04_R06","S04_R07","S04_R08","S04_R09","S04_R10","S04_R11","S04_R12","S05_R01","S05_R02","S05_R03","S05_R04","S05_R05","S05_R06","S05_R07","S05_R08","S05_R09","S05_R10","S05_R11","S05_R12","S06_R01","S06_R02","S06_R03","S06_R04","S06_R05","S06_R06","S06_R07","S06_R08","S06_R09","S06_R10","S06_R11","S06_R12","S07_R01","S07_R02","S07_R03","S07_R04","S07_R05","S07_R06","S07_R07","S07_R08","S07_R09","S07_R10","S07_R11","S07_R12","S08_R01","S08_R02","S08_R03","S08_R04","S08_R05","S08_R06","S08_R07","S08_R08","S08_R09","S08_R10","S08_R11","S08_R12","S09_R01","S09_R02","S09_R03","S09_R04","S09_R05","S09_R06","S09_R07","S09_R08","S09_R09","S09_R10","S09_R11","S09_R12","S10_R01","S10_R02","S10_R03","S10_R04","S10_R05","S10_R06","S10_R07","S10_R08","S10_R09","S10_R10","S10_R11","S10_R12","S11_R01","S11_R02","S11_R03","S11_R04","S11_R05","S11_R06","S11_R07","S11_R08","S11_R09","S11_R10","S11_R11","S11_R12","S12_R01","S12_R02","S12_R03","S12_R04","S12_R05","S12_R06","S12_R07","S12_R08","S12_R09","S12_R10","S12_R11","S12_R12"
"LOC113687214",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC113696942",1.87573,1.139,1.7383,3.15855,2.76261,2.71659,1.42098,1.75647,1.99756,0.936371,2.23641,2.38143,0.342939,0.442712,0.491288,0.30182,0.557873,0.449358,0.711079,0.611194,0.430561,0.708161,1.4257,1.11479,2.57009,0.50371,0.152667,1.21771,0.717752,1.36958,0.588026,0.556467,0.932016,0.680194,0.901632,1.17313,0.658176,0.987924,1.2831,0.690496,0.865592,0.617508,0.728537,0.811627,0.516791,0.802442,1.01101,0.917366,0.475079,0.242754,0.238551,0.635081,0.656847,0.619201,0.163894,0.601395,0.387876,0.567682,0.448228,0.325404,0.840761,0.468241,0.48906,0.722,0.576102,0.695854,0.412483,0.975423,0.713196,0.723149,0.523065,0.500874,0.440081,0.425563,0.432751,0.622973,0.405841,0.0832252,0.803321,0.632321,0.28422,0.459236,0.464769,0.309496,0.752389,0.460344,0.609383,0.524605,0.532737,0.461958,0.918714,0.592492,0.466587,0.180789,0.0860499,0.183792,0.603967,0.368756,0.668969,0.658406,0.21993,0.146729,0.462208,0.377809,0.152655,0.241296,0.156302,0.235114,0.774862,0.864488,0.391751,1.01986,0.76664,0.468784,1.20375,0.710023,0.637993,0.2112,0.435427,0.0142452,0.216944,0.183126,0.44805,0.333461,0.653851,0.675465,0.917417,0.347524,0.452382,0.409582,0.373638,0.365678,0.607092,0.624116,0.723753,0.527031,0.528029,0.538453,0.306395,0.46225,0.403435,0.35428,0.032844,0.679982
"LOC113688401",0.224859,0.0551317,0.0556887,0,0.0448457,0,0,0.057998,0,0,0.0931175,0.0470885,0.0303188,0.0888633,0,0.0370246,0.0994327,0.0327657,0,0,0,0,0,0,0,0.0590043,0.179145,0.03019,0,0,0,0,0,0,0,0,0,0,0.0642779,0,0.0305828,0.030867,0,0.030429,0.0308662,0,0,0,0.02893,0.118445,0.118036,0.0284895,0.116358,0.0287837,0.0305592,0,0,0.0294818,0.120575,0.119424,0.179859,0.125464,0.100944,0.192032,0.140975,0.0948006,0.107072,0.0437755,0.0433485,0.0250151,0.0731866,0.0494932,0,0.0895511,0.0453468,0.0251417,0.0983683,0.0998216,0.105178,0.0256169,0.025982,0.0839945,0.0287377,0.0282913,0.0272562,0.140207,0.055275,0.02399,0,0,0.0302141,0,0.060767,0.0990055,0.0966244,0.162614,0.0277195,0.0269914,0.0818651,0.131775,0.161458,0.106711,0.166514,0.189718,0.191573,0.234441,0.25886,0.145519,0.087726,0.0858031,0.0866268,0.142472,0.0558878,0.170535,0,0.0860374,0.174039,0,0,0,0.0647423,0.165108,0.130893,0.151178,0.246805,0.0915008,0.250918,0.142584,0.0820381,0.0466815,0.0684164,0.115097,0.0604232,0.0392939,0.0594858,0.19433,0.0710756,0.0240985,0.0486251,0.0712452,0.144902,0.0301647,0.0587825,0.059968
"LOC140003795",31.2582,27.9525,28.5141,23.8918,23.1908,26.3576,36.7207,38.0712,34.6018,27.8183,29.0605,26.1926,37.6312,36.351,35.1367,42.5034,42.643,43.8716,38.2677,36.2075,36.3204,34.2315,33.4333,35.0324,29.6082,30.4208,30.0019,25.9698,26.9841,27.9854,26.0766,27.7816,27.9339,28.9385,29.372,30.1163,27.9917,27.1584,25.29,27.3387,30.2468,30.2464,33.6363,33.9821,32.4496,31.8285,30.5954,30.8451,31.6336,30.6514,29.903,29.3982,28.9937,27.9767,32.2717,34.9373,33.0035,29.5651,31.6483,32.6167,16.1499,17.7858,16.966,16.1291,17.3636,16.981,21.9584,22.3946,21.1818,23.1327,22.5072,22.6598,22.9699,24.6185,22.9819,24.1981,23.0155,23.2808,23.2771,22.5498,21.1705,22.1303,22.35,21.2229,24.0644,21.7526,24.1502,19.1102,20.1929,18.8312,21.0643,21.1921,19.1478,20.9493,21.709,19.2878,23.0606,23.5298,23.3943,24.3159,23.8602,24.8023,23.1741,22.3195,23.8113,24.1252,24.3735,22.1545,24.0273,21.9497,23.2505,22.6365,23.2438,22.5137,21.1776,19.8289,21.1157,37.5432,33.6922,37.2987,21.1216,20.8169,20.3692,21.6117,20.67,21.8739,19.9552,20.8347,21.4313,21.3217,21.4219,21.4097,23.4319,23.2747,23.9389,20.8711,19.6208,18.9334,20.9057,21.447,22.8402,19.8031,19.7711,20.9016
"LOC113687412",0,0,0,0,0,185.175,0,0,0,0,0,0,0,0,0,179.384,0,0,0,0,0,0,0,57.2991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.472,0,0,0,0,0,0,0,0,134.042,0,0,0,0,0,0,0,0,0,0,0,132.573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC113687256",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC140008913",7.55521,6.11005,6.45072,5.80747,6.12687,6.03605,5.06115,5.35885,5.36359,5.10969,5.54828,5.0825,4.78324,4.72726,4.66152,5.51559,5.74246,5.30814,5.32271,5.29198,4.96641,4.53131,4.32026,4.51498,7.25126,6.59124,6.7079,5.37555,5.1261,5.40742,6.42211,5.87263,6.03314,4.28462,4.56644,4.98924,5.66771,5.36987,5.4243,6.28581,5.98934,6.15027,6.67879,6.28398,6.45401,6.19777,5.9068,6.10362,6.22123,6.26733,5.76565,6.19402,6.25965,6.72349,6.4506,6.47558,5.90708,6.12612,6.65848,6.19578,7.45413,7.1867,7.40835,8.48543,8.32677,8.44216,7.94761,7.53498,7.97462,9.50897,9.25057,9.74187,10.5863,10.3037,10.5507,11.4232,11.6636,12.0187,11.2048,10.8001,10.7522,9.93942,10.548,10.666,12.1497,12.1246,11.4127,9.927,9.96896,10.31,11.8818,11.8962,11.4455,11.2004,11.6058,11.5967,12.6374,13.0212,12.9123,11.4653,11.1927,11.604,7.65208,8.06659,8.32467,12.0824,12.2351,12.1567,16.7522,16.8107,16.4566,14.6782,14.7762,14.6271,12.0184,11.7446,12.2315,5.97302,6.39486,5.79759,10.9337,10.9545,10.8655,8.47359,8.22157,9.0813,9.5138,10.0223,10.0172,9.54386,9.73658,8.98527,6.16811,6.8016,6.85427,4.84287,4.71399,5.18771,5.65768,5.34793,5.29641,5.03443,4.65782,5.23822
"LOC140006059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0886524,0.0863086,0.173747,0,0.0909733,0,0,0.121336,0,0,0.0929745,0.0943164,0,0,0,0,0,0,0,0,0,0.0840193,0.0860329,0,0.082796,0,0,0.0298387,0,0,0,0.0876553,0,0,0,0,0,0,0,0.187931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC113740232",7.5995,6.02683,5.30321,7.41744,6.68945,6.25544,6.11195,5.78867,7.0011,7.64458,7.27154,5.58424,5.62169,6.60681,5.46161,7.56451,7.28044,7.92891,7.91652,8.43879,6.90265,6.61048,5.99171,7.28579,4.75343,2.62518,4.13041,3.12201,2.55344,2.77955,2.96434,3.52612,3.40017,3.47859,4.61578,4.04479,2.43575,2.90293,3.36275,3.11072,2.62056,3.00791,3.10433,2.89281,3.33391,2.67689,3.25885,3.21851,3.05815,2.98958,2.91538,3.71399,3.34804,3.00748,3.22858,3.27127,3.35119,3.39068,2.93645,3.11584,4.32272,4.13214,3.16659,3.47061,3.66633,3.40697,3.57068,3.78046,3.49337,3.43539,2.86344,3.26968,2.21938,2.83699,2.66065,2.98252,3.17677,2.78331,3.24077,2.9467,2.74465,3.05625,3.33823,2.55762,3.29541,3.42283,2.66714,3.01715,3.23248,3.41338,3.83028,3.45956,3.74264,3.3299,4.19439,4.34956,3.96755,3.48425,3.90881,3.90049,4.38997,4.51084,2.73704,3.05436,3.05288,3.48034,3.71597,3.34896,4.15269,4.19905,3.83324,4.35018,3.60752,3.13662,3.50253,3.56752,3.91767,5.72365,7.43949,5.98178,4.48134,4.38183,3.92242,3.40697,3.69461,3.29389,3.38526,3.87132,3.65786,3.36853,3.15647,3.78181,3.70818,3.34032,3.21021,3.24954,3.22998,3.0563,3.56663,3.90464,3.12047,3.75514,3.93425,2.85011
"LOC113740311",13.8358,13.5828,13.7243,10.1119,10.8088,8.85251,14.0783,14.0858,16.7627,12.1864,13.5704,13.0116,27.2117,31.8496,30.4191,28.5809,32.1688,28.0293,28.9825,25.8415,28.3712,31.3161,29.2717,35.3169,25.5847,22.9941,24.3749,20.9953,20.4391,19.0825,20.4878,20.2156,21.9999,21.6066,23.9813,23.5578,19.5231,19.7912,22.024,20.9699,19.5323,21.1564,18.5012,20.2423,18.9887,21.7316,20.5127,20.3272,19.5184,20.8037,20.653,19.431,19.9075,18.3885,20.3015,23.718,24.5978,23.7565,23.7105,23.4072,18.975,19.526,18.7851,19.2953,19.931,18.6247,15.8366,16.9257,18.0716,17.716,18.4773,16.2273,24.253,23.751,20.6879,27.7155,30.921,27.8007,34.4225,29.0331,27.2535,28.8805,30.972,30.8492,24.6629,24.1899,26.0752,21.1757,20.8202,23.128,26.0021,22.9256,28.0156,24.8884,25.1718,26.8303,22.5419,21.5269,20.161,17.6544,18.4645,19.8379,24.7949,24.1234,22.4478,20.0518,19.4115,17.8567,23.7173,23.6423,22.0882,23.0527,24.1546,25.5439,25.555,29.4423,25.4322,89.2993,94.2633,97.1716,28.2845,26.5517,26.1872,26.4317,22.3096,29.1737,23.2633,20.8927,21.8677,20.1532,22.3601,20.7829,22.4869,21.3618,22.5581,27.7129,25.0529,27.432,25.7055,25.4936,24.4269,28.541,29.4829,30.9341
