"gene_id","S01_R01","S01_R02","S01_R03","S01_R04","S01_R05","S01_R06","S01_R07","S01_R08","S01_R09","S01_R10","S01_R11","S01_R12","S02_R01","S02_R02","S02_R03","S02_R04","S02_R05","S02_R06","S02_R07","S02_R08","S02_R09","S02_R10","S02_R11","S02_R12","S03_R01","S03_R02","S03_R03","S03_R04","S03_R05","S03_R06","S03_R07","S03_R08","S03_R09","S03_R10","S03_R11","S03_R12","S04_R01","S04_R02","S04_R03","S04_R04","S04_R05","S04_R06","S04_R07","S04_R08","S04_R09","S04_R10","S04_R11","S04_R12","S05_R01","S05_R02","S05_R03","S05_R04","S05_R05","S05_R06","S05_R07","S05_R08","S05_R09","S05_R10","S05_R11","S05_R12","S06_R01","S06_R02","S06_R03","S06_R04","S06_R05","S06_R06","S06_R07","S06_R08","S06_R09","S06_R10","S06_R11","S06_R12","S07_R01","S07_R02","S07_R03","S07_R04","S07_R05","S07_R06","S07_R07","S07_R08","S07_R09","S07_R10","S07_R11","S07_R12","S08_R01","S08_R02","S08_R03","S08_R04","S08_R05","S08_R06","S08_R07","S08_R08","S08_R09","S08_R10","S08_R11","S08_R12","S09_R01","S09_R02","S09_R03","S09_R04","S09_R05","S09_R06","S09_R07","S09_R08","S09_R09","S09_R10","S09_R11","S09_R12","S10_R01","S10_R02","S10_R03","S10_R04","S10_R05","S10_R06","S10_R07","S10_R08","S10_R09","S10_R10","S10_R11","S10_R12","S11_R01","S11_R02","S11_R03","S11_R04","S11_R05","S11_R06","S11_R07","S11_R08","S11_R09","S11_R10","S11_R11","S11_R12","S12_R01","S12_R02","S12_R03","S12_R04","S12_R05","S12_R06","S12_R07","S12_R08","S12_R09","S12_R10","S12_R11","S12_R12"
"LOC140010539",0,0.370023,0.186904,0.154269,0.124571,0.0761785,0.312575,0,0,0,0.12844,0.0786038,0.1517,0.0815159,0.150205,0.102603,0.0918838,0.109581,0.0533177,0.252146,0.105449,0,0.102081,0,0.401688,0,0.1983,0.0842196,0,0,0.152409,0.0522595,0.205875,0.458398,0.115374,0,0.175769,0.0883314,0.172981,0.208195,0.169031,0.154674,0.172179,0.164209,0.309479,0.279216,0.205531,0.385271,0.103988,0.197806,0.157609,0.386073,0.388709,0.159086,0.417144,0.430096,0.171087,0.321878,0.333342,0.495116,0.207543,0.0837303,0.0842032,0.0669823,0.125808,0,0.119586,0.109932,0,0.136938,0.0407825,0.165495,0.0768819,0.149335,0.151235,0,0.123384,0.0834772,0.0727209,0,0,0.154375,0.079249,0.150622,0,0.0772135,0.152158,0.240117,0.0677697,0.080877,0.161274,0.155006,0,0,0.107329,0.16257,0,0.073951,0.0747617,0.0880657,0,0.178279,0.153361,0,0,0,0.152356,0.0971762,0.14645,0.0477422,0.144607,0,0.139961,0.0784733,0.146442,0,0.232168,0,0,0,0.0890292,0.110127,0.109122,0,0,0.0509015,0.0697161,0.101851,0.338246,0.128244,0.0380026,0.122213,0.167386,0.158165,0.131829,0,0,0.132999,0.0668909,0.0791925,0.132866,0,0,0
"LOC113699558",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC140010540",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC113698118",2.13814,2.48048,2.99843,1.31596,1.78498,2.24337,2.38463,2.10587,2.57318,1.80416,2.071,2.68715,2.28201,2.57633,2.25391,1.98512,2.79364,2.55004,2.4537,2.89414,3.39006,3.69279,4.02639,3.57763,2.08551,1.53295,1.80282,2.95811,2.31005,2.45236,2.01038,1.90623,2.18443,2.36033,2.36217,2.78295,1.77134,3.14456,2.1049,1.75567,1.64325,1.79541,3.11153,1.94082,2.36419,1.95102,2.52791,2.04522,2.51303,3.04137,2.47848,2.54846,1.91499,1.62619,2.25909,1.91102,2.28504,2.21334,2.88942,2.72759,2.82305,2.77792,3.55956,1.65228,2.48972,1.88428,1.88937,2.05691,2.10664,3.11978,2.9275,2.24854,2.00174,2.21215,2.29984,2.59299,2.24745,2.92774,2.62262,3.30192,3.09029,2.691,2.69808,2.32093,2.75793,2.22557,2.42913,2.44955,1.98758,2.1863,2.7564,2.92709,3.21479,2.95624,3.05072,2.98935,3.06362,3.47136,2.76149,2.59934,2.74967,2.65134,4.16826,3.46062,3.94523,2.89478,2.75284,2.35967,1.94978,2.27341,1.84347,3.44581,2.85485,2.86516,2.03717,2.40107,2.26896,5.74255,5.60276,4.67473,1.49961,1.53293,1.42065,2.01577,1.79199,2.42034,1.6636,1.53629,1.68032,1.79129,1.43685,1.51002,2.67874,2.59352,2.29126,2.82468,2.78247,2.41203,2.24738,3.18566,2.93053,2.32513,2.7775,2.90821
"LOC113697781",6.19462,5.3896,4.67935,5.25806,6.35243,6.44112,4.55142,5.39177,5.02112,5.06064,4.5488,5.52293,4.64574,5.11664,5.26241,5.84655,5.41741,6.35724,5.27634,4.74334,5.10651,5.01868,4.93444,4.91808,3.35878,3.27979,3.32371,3.40553,3.16933,2.42841,3.55187,3.67065,3.1132,3.66511,3.3351,3.22154,3.87593,3.711,3.84058,3.14535,3.58301,3.62137,3.30557,3.21088,3.66402,3.43543,3.20146,3.15685,2.91446,2.57616,3.18453,3.74693,2.82687,2.92297,3.46448,3.15642,3.46967,3.31591,3.46293,3.67397,8.08477,7.49366,8.78705,7.00989,8.02762,7.716,7.32152,7.3273,7.47773,8.33547,8.14361,7.5456,5.83097,5.63657,6.57007,5.31618,6.53319,6.51666,5.07799,5.48717,4.61151,5.20845,4.83576,4.91014,6.85027,7.12141,7.40337,7.84682,7.83222,7.27824,7.44793,7.39878,7.15821,8.44567,8.03762,8.14778,4.98979,4.50238,5.12342,4.67647,4.10796,4.66089,5.08154,4.59984,4.86569,4.42414,4.36314,3.77816,6.94637,6.62578,6.68288,5.50196,6.03158,5.82049,6.54061,6.16493,6.87552,4.25252,4.52647,4.43026,7.04309,7.1857,6.98882,6.82208,7.80071,8.21808,5.87528,5.90743,6.21702,6.97419,6.56759,6.55349,6.9356,6.78378,6.39046,8.43164,8.33437,8.04665,7.68233,7.59213,7.74484,7.89898,7.78888,7.80423
"LOC113698331",52.2206,53.7739,52.2623,42.6676,42.0934,43.7207,44.0361,42.2839,42.5217,40.5838,39.9919,39.5301,33.5711,33.7908,33.5783,41.0123,39.7646,40.5247,35.3336,35.076,36.2563,33.9013,31.8842,32.6994,33.5161,31.4246,33.3492,30.7134,31.2573,31.4159,32.3124,31.8949,32.6686,31.0481,29.8884,30.4993,31.5227,31.966,31.4252,32.8129,33.7401,31.8803,35.2829,33.2178,34.0686,33.7059,33.7855,34.6925,29.8745,27.8952,28.489,30.671,29.8486,30.4249,31.7015,31.9217,31.9206,30.1805,30.7899,31.0446,52.4134,52.6458,52.5647,53.9315,54.2015,53.3602,47.4089,50.4265,48.8734,51.3798,51.6295,50.9684,42.4204,41.3065,40.0388,36.0997,38.5896,36.4763,35.305,35.8399,36.9919,34.5368,33.9739,32.2895,47.1622,47.0262,47.792,45.0601,45.6852,45.3116,49.6382,51.293,48.4611,50.7613,48.0953,50.538,46.8783,47.7322,45.6898,47.4147,47.1184,48.1271,42.2854,41.696,42.8599,47.3793,48.259,47.4764,46.6241,48.1768,48.566,46.6815,45.8018,44.5244,44.3565,44.9603,44.273,35.2285,34.9019,35.4396,56.1412,55.0178,55.2802,44.887,44.955,46.0742,41.2993,40.303,39.9531,41.6198,40.7365,39.7807,41.0134,41.7364,41.8954,40.4965,40.8824,40.5457,39.3797,38.5037,38.6546,40.702,39.4599,39.8401
"LOC113698791",6.00784,5.45608,5.05143,3.67839,4.16467,4.25602,4.88566,4.84228,4.56821,4.58063,4.60251,4.95474,1.13207,1.00218,1.28395,0.84858,0.970518,0.99079,1.05124,1.15773,1.12043,1.21016,1.12184,1.15906,2.17132,2.17537,2.64195,2.13763,2.08183,1.96353,1.35679,1.69446,1.54136,1.97083,1.72016,2.04761,2.8496,2.77761,2.86814,2.51188,2.46568,2.8622,3.00182,3.23734,3.10665,3.22954,3.14237,3.17439,2.14869,2.44434,2.34206,2.19717,2.17833,1.97208,2.28841,2.23549,2.50892,1.92598,2.04573,1.95981,6.96765,7.17306,6.57791,6.63774,6.9829,6.79489,5.0111,5.14215,5.00966,4.67436,4.78451,4.67973,3.05339,3.15883,3.14114,2.99212,3.01316,3.11325,3.1245,3.05258,2.60757,2.9381,2.74957,2.98678,3.65351,3.59725,3.54583,3.21495,3.61717,3.32579,4.71091,4.40895,4.36836,4.12173,4.47579,4.67524,3.26117,3.2708,2.97529,2.5441,2.67451,2.53274,3.17512,3.50699,3.57621,2.77469,2.72354,2.88568,3.71064,3.62964,3.5907,2.94281,2.86855,3.27084,3.69553,4.24535,3.78466,1.8928,1.64757,1.71198,4.76435,4.95429,4.59653,4.59997,4.71286,4.4649,3.83239,3.96795,3.70695,3.89151,3.81708,4.11764,4.21203,4.41735,4.5088,3.71738,3.88291,3.78037,4.05894,4.0487,4.17092,4.32835,4.01173,3.94888
"LOC113698375",4.31421,5.28615,7.93512,6.39779,4.6372,5.94589,6.43132,5.18223,6.51885,10.6185,8.05437,12.6037,23.065,25.5611,24.2119,25.8334,23.2243,25.5352,26.2953,27.0503,25.1458,24.4748,27.1129,24.6852,20.006,20.6187,20.3876,30.3571,30.0372,27.6465,27.2631,26.6926,26.9531,26.4646,27.9225,27.1185,25.4869,27.8598,26.5061,35.4432,29.3133,32.9334,21.5921,20.5368,22.3418,22.3734,25.3729,23.193,36.4746,34.2215,34.3349,23.4465,22.8438,21.5097,21.7629,22.8219,20.315,18.2793,17.9626,16.3315,2.49738,3.31935,3.06581,2.68992,2.18278,2.52593,5.48152,5.3659,5.13552,3.66711,3.64116,3.96282,4.04025,3.50055,3.11755,1.57136,2.67225,2.57619,1.99497,1.73469,1.47804,2.64711,2.95077,2.52227,2.9408,3.32907,2.38558,2.13667,2.65624,2.87894,1.54422,0.500627,1.06254,1.15479,0.606681,1.31281,0.744522,1.08714,0.95251,1.28528,1.31267,0.867362,3.0052,3.74119,4.074,0.951184,0.933349,0.865811,0.316299,0.695911,0.234218,0.539687,1.05815,0.461332,0.553067,0.929186,0.704932,1.47111,0.643202,0.638291,0.174485,0.267076,0.0882025,1.06193,0.91701,0.659302,1.35199,0.603452,1.10486,0.754045,0.98218,1.05333,1.50822,1.68106,1.85586,2.10215,2.1778,2.34568,1.04877,1.66414,1.56237,1.0601,0.635421,0.972557
"TRNAV-CAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC113697840",5.59261,5.9014,4.83318,5.06817,4.36462,3.72715,3.91189,4.46852,3.31075,3.19625,3.5396,4.5485,4.50167,4.5761,4.37074,4.94272,4.37896,4.91021,4.51618,4.1803,3.93338,4.93708,4.17066,4.92156,6.74977,8.59301,7.71628,7.00874,7.27699,7.6185,7.27831,7.11624,7.71712,8.63433,7.36034,6.38131,8.8637,8.81785,8.74978,8.19291,8.73949,7.81279,9.04567,9.03878,8.03752,8.2662,8.62079,7.79097,10.3752,10.4334,9.72282,9.46305,9.88221,9.7874,8.94442,8.23721,7.92881,9.21019,10.2231,10.0324,7.55139,7.29221,7.33698,6.88266,5.86776,5.74268,5.99838,6.42704,6.30748,5.3786,6.05276,5.3414,7.64708,6.28248,7.09548,6.49892,4.8103,5.44524,5.99024,5.31934,6.87217,6.13051,5.80322,6.09902,7.40184,7.86219,7.75225,7.49477,7.6135,8.08836,6.65424,8.30122,6.94315,9.36931,7.97149,8.03235,4.74317,5.86835,5.42019,5.68451,6.09526,5.84882,6.44748,6.2415,7.12418,5.12013,5.02141,5.30766,6.43878,6.36414,6.35686,6.09235,6.19099,5.72524,7.50809,6.89027,6.71734,12.7522,10.1805,9.50372,4.09791,5.77116,5.32623,6.31808,5.98792,5.52363,6.04893,6.01911,6.18947,6.83225,5.58826,6.38861,6.50338,6.24544,6.70389,5.5892,5.98407,6.69577,5.8462,6.00442,6.01494,6.22729,5.91619,5.00742
