"gene_id","S01_R01","S01_R02","S01_R03","S01_R04","S01_R05","S01_R06","S01_R07","S01_R08","S01_R09","S01_R10","S01_R11","S01_R12","S02_R01","S02_R02","S02_R03","S02_R04","S02_R05","S02_R06","S02_R07","S02_R08","S02_R09","S02_R10","S02_R11","S02_R12","S03_R01","S03_R02","S03_R03","S03_R04","S03_R05","S03_R06","S03_R07","S03_R08","S03_R09","S03_R10","S03_R11","S03_R12","S04_R01","S04_R02","S04_R03","S04_R04","S04_R05","S04_R06","S04_R07","S04_R08","S04_R09","S04_R10","S04_R11","S04_R12","S05_R01","S05_R02","S05_R03","S05_R04","S05_R05","S05_R06","S05_R07","S05_R08","S05_R09","S05_R10","S05_R11","S05_R12","S06_R01","S06_R02","S06_R03","S06_R04","S06_R05","S06_R06","S06_R07","S06_R08","S06_R09","S06_R10","S06_R11","S06_R12","S07_R01","S07_R02","S07_R03","S07_R04","S07_R05","S07_R06","S07_R07","S07_R08","S07_R09","S07_R10","S07_R11","S07_R12","S08_R01","S08_R02","S08_R03","S08_R04","S08_R05","S08_R06","S08_R07","S08_R08","S08_R09","S08_R10","S08_R11","S08_R12","S09_R01","S09_R02","S09_R03","S09_R04","S09_R05","S09_R06","S09_R07","S09_R08","S09_R09","S09_R10","S09_R11","S09_R12","S10_R01","S10_R02","S10_R03","S10_R04","S10_R05","S10_R06","S10_R07","S10_R08","S10_R09","S10_R10","S10_R11","S10_R12","S11_R01","S11_R02","S11_R03","S11_R04","S11_R05","S11_R06","S11_R07","S11_R08","S11_R09","S11_R10","S11_R11","S11_R12","S12_R01","S12_R02","S12_R03","S12_R04","S12_R05","S12_R06","S12_R07","S12_R08","S12_R09","S12_R10","S12_R11","S12_R12"
"LOC113736642",0,0.363095,0,0.300975,0,0.594347,0.183371,0.188069,0.185869,0.155019,0,0,0.293523,0.47771,0.774892,0.481938,0.431634,0.533254,0.103116,0.10078,0.101944,0,0,0,0.192336,0.187626,0,0.198156,0.289362,0.582526,0.295943,0.202992,0.299831,0,0,0,0.10628,0.103894,0.105396,0.505363,0.595012,0.300327,0.202113,0,0.100251,0.252095,0.327733,0.24957,0.0937163,0.0959693,0.0956085,0.277089,0.0943407,0.186667,0.0991027,0.101617,0.10054,0.38238,0.391175,0.193659,0,0,0.0815173,0.157611,0.0771065,0.0777923,0.139926,0.143076,0.141647,0.569771,0.317365,0.0805001,0,0.0721826,0,0.0819132,0,0.0812759,0,0,0,0,0,0,0.0879437,0.181026,0.178351,0.309857,0.158917,0.156567,0.485683,0.0997281,0.195373,0.42475,0.517973,0.418459,0,0.086573,0.0875199,0.427656,0.524169,0.0865809,0.0899714,0.175685,0,0.0948982,0.372449,0.188459,0.757301,0.277678,0.467295,0.184626,0.36195,0.0920567,0.283641,0.463256,0.656068,0,0,0,0.10433,0.532369,0.632899,0.488807,0.0997754,0.88771,0.202077,0.327954,0.198155,0.0751198,0.366909,0.222202,0.321311,0.438685,0.442803,0.314575,0.84342,0.389997,0.940754,0.918511,0.467125,0.780895,0.380264,0.388039
"LOC113738206",0.116347,0,0.0641388,0.202059,0.103481,0.0253162,0.0315047,0,0.169379,0,0.026899,0.0272037,0.133736,0.174645,0.0885035,0,0.0191252,0.0977158,0,0.0180735,0.0937812,0.107982,0.0553858,0.054885,0.806823,0.349259,0,0.263843,0.0816739,0.292867,0.226401,0.28056,0.184048,0.314179,0.122431,0.0484996,0.338299,0.283712,0.288332,0.0922233,0.179924,0.257836,0.185308,0.0804512,0.156764,0.114285,0.0291344,0.0591705,0.338695,0.324997,0.492972,0.465686,0.216566,0.299771,0.0922438,0.230185,0.181735,0.305462,0.490429,0.280182,0.207919,0.296393,0.204214,0.246099,0.0947823,0.209786,0.0957001,0.194518,0.180971,0.149071,0.0730371,0.184345,0.102826,0.149996,0.0655467,0.0870499,0.127732,0.0742025,0.390895,0.0753962,0.130222,0.206756,0.246651,0.268233,0.163681,0.292725,0.0616253,0.108761,0.099512,0.144696,0.139837,0.318699,0.269903,0.344941,0.43127,0.142685,0.375858,0.451928,0.43375,0.348212,0.594433,0.353873,0.0480876,0.163817,0.204202,0.203169,0.36176,0.226981,0.42919,0.65363,0.459395,0.350676,0.314964,0.16872,0.436245,0.339442,0.514826,0.35021,0.238169,0.236376,0.335719,0.341969,0.243096,0.268829,0.381467,0.406532,0.341271,0.421313,0.393274,0.343723,0.269358,0.455076,0.477477,0.841446,0.523311,0.46829,0.756185,0.63288,0.366671,0.494147,0.802679,0.627158,0.365853,0.845302
"LOC140038635",0,0,0,0,0,0,0.640876,0.219114,0.433068,0.180533,0,0,0.11386,0.136417,0,0.34598,0.154974,0.124368,0,0,0,0,0,0.168245,0.223061,0,0,0,0,0,0,0,0,0.198836,0.193595,0,0.907524,0.364097,0.304124,0.868962,1.2337,0.143426,0.579759,0.846234,0.350534,1.0774,0.859412,0.357844,1.09191,1.78877,0.816496,1.3491,1.52453,2.03031,0.923709,1.30246,0.643486,0.44551,0.683701,0.277457,0.289858,0.115824,0.379537,0.552509,0.450452,0.45448,1.14321,0.919441,0.991979,0.116848,0.462513,0.684127,0.835675,1.03043,0.935718,1.83763,1.77683,2.08541,3.15355,3.3623,3.04396,3.14409,3.07568,2.57495,0.991907,2.16449,0.636781,0.332036,0.227127,0.447435,0.11294,0.231919,0.278405,0.605548,0.295313,0.149113,0.420638,1.1072,0.983083,0.490365,0.509158,0.977219,0.25774,0.754828,0.516789,0.612078,0.133247,0.219488,0.440992,0.71981,0.761871,0.215054,0.388556,0.26356,0.135153,0.529681,0.4019,2.12908,1.44818,1.07767,0.297778,0,0,1.17991,1.27789,1.64287,1.06235,1.33143,0.998818,0.611553,0.427473,0.77521,0.756436,1.52374,1.46849,1.00749,1.12518,0.870543,1.27701,0.712388,1.90225,1.47769,1.10692,1.01672
"LOC113738337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC113737292",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC113738342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC113737293",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367636,0.0356181,0,0,0.0711296,0,0.0705785,0,0,0.0292855,0.0661406,0,0,0,0,0,0,0,0,0,0,0,0,0.0286744,0.0576828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311445,0,0.0315806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC140038636",0,0,0,0,0,0,0,0,0,0,0,0,0,0.114113,0.115698,0,0,0,0.206998,0,0.102323,0,0,0,0,0.188308,0.381115,0.118921,0.115761,0.116527,0.118009,0.24286,0.358699,0,0,0,0,0.104289,0,0.241831,0.428002,0.200968,0.304311,0.11824,0.100627,0.100567,0.164481,0.250506,0,0.114778,0.343027,0.110477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0789374,0,0,0,0,0,0,0,0
"LOC113737294",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00736294,0,0,0.00619052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00687071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC140038637",0,0,0,0.562723,0.364833,0.555542,0.227966,0,0.231074,0.385259,0.374301,0.475766,0,0,0,0,0,0,0,0,0,0,0.124236,0,0,0.231702,0.234461,0.123707,0,0,1.23328,1.16209,1.1442,0.690645,1.00876,0.7067,0.265377,0,0,0,0,0,0.251459,0.24582,0.124714,0.104544,0.101917,0.310456,0,0,0,0.229661,0.1173,0,0,0,0,0,0,0.240797,0,0,0,0,0,0,0.0728459,0.089188,0.0737424,0,0.296251,0,0.154701,0.2253,0.618215,0.102013,0.0997291,0,0,0,0,0,0,0,0.2745,0.0941753,0.37114,0.769381,0.493328,0.896198,0.72248,1.23219,0.484386,0.790019,0.899073,0.769733,0.330534,0.321698,0.867224,0.267065,0.325996,0.991245,0.781289,0.2184,0.110262,0.705837,0.484529,0.117092,0,0.0963192,0.0972561,0.0960691,0.0941667,0.0958009,0,0,0,0,0,0,0,0,0,0.121423,0,0,0.210232,0.162708,0.163852,0.0931501,0.0909847,0.183682,0.317812,0.464441,0.131545,0,0.0952618,0,0.0972775,0.189932,0,0,0.0989247,0.100949
